Publisher,Journal title,Article title,Cost
Public Library of Science,PLoS One,The N-terminal region of the human autophagy protein ATG16L1 contains a domain that folds into a helical structure consistent with formation of a coiled-coil,"£1 046,74"
Public Library of Science,PLoS One,Investigating the consequences of eIF4E2 (4EHP) interaction with 4E-Transporter on its cellular distribution in HeLa cells,"£1 047,02"
Public Library of Science,PLoS One,Anticipating the prevalence of avian influenza subtypes H9 and H5 in live-bird markets,"£1 047,25"
Public Library of Science,PLoS One,Vaccinating women previously exposed to human papillomavirus: a cost-effectiveness analysis of the bivalent vaccine,"£1 047,25"
Public Library of Science,PLOS ONE,Within-host evolution of Staphylococcus aureus during asymptomatic carriage,"£1 048,79"
Public Library of Science,PLoS ONE,Raised Intraocular pressure as a potential risk factor for visual loss in Leber Hereditary optic neuropathy,"£1 056,24"
Public Library of Science,PLoS One,Growth kinetics of bacterial pili from pairwise pilin association rates,"£1 057,92"
Public Library of Science,Plos One,Pyrimidine Biosynthesis is not an essential function for T brucei bloodstream forms,"£1 060,00"
Public Library of Science,PLoS One,"Site Specific Mutation of the Zic2 Locus by Microinjection of TALEN mRNA in Mouse CD1, C3H and C57BL/6J Oocytes.","£1 060,06"
Public Library of Science,PLoS One,"A bead aggregation assay for detection of low-affinity protein-protein interactions reveals interactions between N-terminal domains of inosital 1,4,5-trisphosphate receptors","£1 063,55"
Public Library of Science,PLoS One,The role of proteasome beta subunits in Gastrin-mediated transcription of plasminogen activator inhibitor-2 and regenerating protein 1,"£1 063,69"
Public Library of Science,PLoS One,Are bisphosphonates effective in the treatment of osteoarthritis pain? A meta-analysis and systematic review.,"£1 063,69"
Public Library of Science,PLoS One,"A prospective longitudinal study of the clinical outcomes from cryptococcal meningitis following treatment induction with 800mg oral fluconazole in Blantyre, Malawi","£1 064,04"
Public Library of Science,PLoS One,Parents' agendas in paediatric clinical trial recruitment are different from researchers' and often remain unvoiced: A qualitative study,"£1 064,04"
Public Library of Science,PLoS One,Thyrotropin-releasing hormone (TRH) promotes wound re-epithelialisation in frog and human skin,"£1 064,22"
Public Library of Science,PLoS One,The AgI/II Family Adhesin AspA Is Required for Respiratory Infection by Streptococcus pyogenes,"£1 065,58"
Public Library of Science,PLoS One,"Stimulation of inositol 1,4,5-triphosphate (IP3) receptors by adenophostin and its analogs","£1 068,11"
Public Library of Science,PLoS One,The potential impact of improving appropriate treatment for fever on malaria and non-malarial febrile illness management in under-5s: a decision-tree modelling approach,"£1 068,12"
Public Library of Science,PLOS ONE,LC-MS/MS confirms that COX-1 drives vascular prostacyclin whilst gene expression pattern reveals non-vascular sites of COX-2 expression,"£1 068,12"
Public Library of Science,PLoS One,The presence of methylation quantitative trait Loci indicates a direct genetic influence on the level of DNA methylation in adipose tissue.,"£1 068,19"
Public Library of Science,PLoS ONE,Pentrose phosphate pathway function affects tolerance to the G-quadruplex binder TMPyP4,"£1 068,23"
Public Library of Science,PLoS One,Imputation of Variants from the 1000 Genomes Project Modestly Improves Known Associations and can Identify Low-frequency Variant - Phenotype Associations Undetected by HapMap Based Imputation,"£1 072,85"
Public Library of Science,PLoS One,"Solution structure of the QUA1 dimerization domain of pXqua, the Xenopus ortholog of Quaking","£1 072,92"
Public Library of Science,PLOS One,"Hinged Plakin Domains Provide Specialized Degrees of Articulation in Envoplakin, Periplakin and Desmoplakin ","£1 075,98"
Public Library of Science,PLoS One,An activating mutation reveals a second binding mode of the integrin Î±2 I domain to the GFOGER motif in collagens,"£1 076,94"
Public Library of Science,Plos ONE,"Caspase-2 Is Upregulated after Sciatic Nerve Transection
and Its Inhibition Protects Dorsal Root Ganglion Neurons
from Apoptosis after Serum Withdrawal","£1 079,64"
Public Library of Science,PLOS One,Regulator of G protein signalling 14 (RGS14) regulates the activation of amb2 integrin during phagoc,"£1 085,61"
Public Library of Science,PLoS ONE,Global quantitative SILAC phosphoproteomics reveals differential phosphorylation is widespread between the procyclic and bloodstream form lifecycle stages of Trypanosoma brucei.,"£1 331,13"
Public Library of Science,PLoS One,Genetic imprint of vaccination on Simian/Human immunodeficiency virus type 1 transmitted viral genomes in rhesus macaques,"£1 395,78"
Public Library of Science,PLoS One,"Genome-wide association studies reveal a simple genetic basis of resistance to naturally coevolving viruses in Drosophila melanogaster
","£1 541,48"
Public Library of Science,Plos one,In vivo imaging of Trypanosome brain interactions and development of a rapid screening test for Drugs against CNS stage trypanosomiasis,"£1 692,00"
Public Library of Science,Plos One,Mosaic VSG's and the sclae of Trypanosoma brucei antigenic variation,"£1 745,00"
Public Library of Science,PLoS One,Duplication and retention biases of essential and non-essential genes revealed by systematic knockdown,"£1 775,50"
Public Library of Science,PLoS One,Functional IL6R 368Ala allele impairs classical IL-6 receptor signalling and influences risk of diverse inflammatory diseases,"£1 785,36"
Public Library of Science,PLoS One,Reducing stock-outs of life saving Malaria Commodities using mobile phone text-messaging: SMS for life study in Kenya ,"£1 926,45"
PLOS,PLOS Pathogens,Th2 Cell-intrinsic Hypo-responsiveness determines susceptibility to Helminth infection,"£1 343,73"
PLOS,PLOS Pathogens,Independent pathways can transduce the life-cycle deifferentiation signal in Trypanosoma brucei,"£1 438,45"
Public Library of Science,PLoS Pathogens,Histone H1 plays a role in heterochromatin formation and VSG expression site silencing in Trypanosoma brucei,"£1 254,02"
Public Library of Science,PLoS Pathogens,"Schmallenberg virus pathogenesis, tropism and interaction with the innate immune system of the host","£1 397,00"
Public Library of Science,PLoS Pathogens,Lung adenocarcinoma originates from retrovirus infection of proliferating type 2 pneumocytes during pulmonary post-natal development or tissue repair,"£1 404,00"
Public Library of Science,PLoS Pathogens,Identification and characterization of a novel non-structural protein of bluetongue virus.,"£1 440,00"
Public Library of Science,PLOS Pathogens,Transmission of equine influenza virus during an outbreak is characterized by frequent mixed infections and loose transmission bottlenecks,"£1 440,00"
Public Library of Science,PLoS Pathogens,"The Mnn2 Mannosyltransferase Family Modulates Mannoprotein Fibril Length, Immune Recognition and Virulence of Candida albicans","£1 460,30"
Public Library of Science,PLoS Pathogens,DNA break site at fragile subtelomeres determines probability and mechanism of antigenic variation in African trypanosomes,"£1 476,47"
Public Library of Science,PLOS Pathogens,Cross-serotype Immunity Induced by Immunization with a Conserved Rhinovirus Capsid Protein,"£1 570,87"
Public Library of Science,PLoS Pathogens,"Genome-wide Determinants of Proviral Targeting, Clonal Abundance and Expression in Natural HTLV-1 Infection","£1 600,25"
Public Library of Science,PLoS Pathogens,Strongyloidiasis and Infective Dermatitis Alter Human T Lymphotropic Virus-1 Clonality in vivo,"£1 600,25"
Public Library of Science,PLoS Pathogens,Induction of p16(INK4a) Is the Major Barrier to Proliferation when Epstein-Barr Virus (EBV) Transforms Primary B Cells into Lymphoblastoid Cell Lines.,"£1 600,79"
Public Library of Science,PLOS Pathogens,The zebrafish as a new model for the in vivo study of Shigella flexneri interaction with phagocytes and bacterial autophagy,"£1 602,17"
Public Library of Science,PLoS Pathogens,The CLIP-domain serine protease homolog SPCLIP1 regulates complement recruitment to microbial surfaces in the malaria mosquito Anopheles gambiae,"£1 602,80"
Public Library of Science,PLoS Pathogens,KIR2DL2 enhances protective and detrimental HLA class I-mediated immunity in chronic viral infection,"£1 644,84"
Public Library of Science,PLOS Pathogens,"The plasmodium berghei Ca2+/H+Exchanger, PbCAX, is essential for tolerance to environmental CA2+ DU","£1 723,16"
Public Library of Science,Plos Pathogens,The TgsGP gene is essential for resisteance to human serum in Trypanosoma brucei gambiense,"£1 735,20"
Public Library of Science,PLoS Pathogens,A mechanism for inhibition of DNA-PK-mediated DNA sensing by a virus,"£1 758,16"
Public Library of Science,PLOS Pathogens,Orthobunyavirus Ultrastructure and the Curious Tripodal Glycoprotein Spike.,"£1 766,76"
Public Library of Science,PLoS Pathogens,An anti-human ICAM-1 antibody inhibits rhinovirus-induced exacerbations of lung inflammation,"£1 780,00"
Public Library of Science,Plos Pathogens,An Over expression screen of Toxoplasma Gondii Rab-GTPases reveals distinct transport routes to the micronemes,"£1 782,00"
Public Library of Science,PLoS Pathogens,Poxvirus targeting of E3 ligase Beta-TrCP by molecular mimicry: A mechanism to inhibit Nf-?B activation,"£1 784,65"
Public Library of Science,PLoS Pathogens,"Determinants of GPI-PLC localisation to the flagellum, and access to GPI-anchored substrates in trypanosomes","£1 817,87"
Public Library of Science,PLoSONE,Systematic review of TST responses in people living with HIV in under-resourced settings: implications for isoniazid preventive therapy.,"£842,54"
Public Library of Science,PLoSONE,"Impact of anthelminthic treatment in pregnancy and childhood on immunisations, infections and eczema in childhood: a randomised controlled trial.","£842,54"
Public Library of Science,PLosONE,Methods of identifying neisseria manigitidis carriers: a multi-centre study in the African meningitis belt.,"£850,88"
Public Library of Science,PLosONE,Rates of switching antiretroviral drugs in a primary care service in South Africa before and after introduction of Tenofovir,"£871,42"
Public Library of Science,PLosONE,Retinal Nerve Fibre Layer Thickness and Contrast Sensitivity in HIV-Infected Individuals in South Africa: A Case-Control Study.,"£878,28"
Public Library of Science,PLosONE,Association between milk and milk product consumption and anthropometric measures in adult men and women in India: a cross-sectional study.,"£879,36"
Public Library of Science,PLosONE,"Alcohol-related dysfunction in working-age men in Izhevsk, Russia: an application of structural equation models to study the association with education","£879,36"
Public Library of Science,PLosONE,Acute maternal infection and risk of pre-eclampsia: a population-base case control study.,"£884,67"
Public Library of Science,PLosONE,Effect of genital herpes on cervicovaginal HIV shedding in women co-infected with HIV AND HSV-2 in Tanzania,"£904,34"
Public Library of Science,Pmedicine-D-12-03130,"Global Burden of Sickle cell Anaemia in children under Five, 2010-2050: Modelling Based on Demographics, excess Mortality and interventions","£1 919,88"
Dartmouth Journals,PNAS,CTLA-4 controls the thymic development of both conventional and regulatory T cells through modulation of the TCR repertoire,"£625,00"
National Academy of Sciences,PNAS,Membrane lipid saturation activates endoplasmic reticulum unfolded protein response transducers through their transmembrane domains,"£667,74"
"National Academy of Sciences, USA",PNAS,Efficient -2 frameshifting by mammalian ribosomes to synthesize an additional arterivirus protein,"£725,40"
"National Academy of Sciences, USA",PNAS,Reversible epigenetic down-regulation of MHC molecules by devil facial tumour disease illustrates immune escape by a contagious cancer,"£1 069,80"
PNAS,PNAS,How nature can exploit nonspecific catalytic and carbohydrate binding modules to create enzymatic specifity,"£734,00"
PNAS,PNAS,Shaping accoustic fields as a toolset for microfluidic manipulations in diagnostic technologies,"£1 420,00"
National Academy of Sciences,PNAS (Proceedings of the National Academy of Sciences of the United States of America,Activation of the canonical IKK complex by K63/M1-linked hybrid ubiquitin chains,"£853,64"
PNAS,PNAS USA,Cannabinoid- and lysophosphatidylinositol-sensitive receptor GPR55 boosts neurotransmitter release at central synapses,"£651,58"
Public Library of Science,PNTD,The outcome of trachomatous trichiasis surgery in Ethiopia: risk factors for recurrence.,"£1 488,29"
Public Library of Science,PONE-D12-17947,Persistence of Hyperinvasive Meningococcal Strain types during Global spread as recorded in the PubMLST Database,"£852,04"
John Wiley & Sons Ltd,"Population, Space and Place",Gendered Patterns of Migration in Rural South Africa,"£1 836,92"
BMJ PUBLISHING GROUP,Postgraduate Medical Journal,Operator training requirements and diagnostic accuracy of Fibroscan in routine clinical practice,"£2 040,00"
BMJ Publishing Group,Postgraduate Medical Journal,Antithrombotic therapy in atrial fibrillation: aspirin is rarely the right choice,"£2 040,00"
Elsevier,Preventive Medicine,"Incorporating walking or cycling into car journeys to and from work: the role of individual, workplace and environmental characteristics","£1 160,62"
Elsevier,Preventive Medicine,Associations between active commuting and physical activity in working adults: cross sectional results from the Commuting and Health in Cambridge study,"£1 188,83"
Elsevier,Preventive Medicine,Associations between active commuting and physical and mental wellbeing,"£1 273,15"
Elsevier,Preventive Medicine,Parent awareness of young children’s physical activity,"£2 321,23"
Elsevier,Preventive Medicine,Is active travel associated with greater physical activity? The contribution of commuting and non-commuting active travel to total physical activity in adults,"£2 377,65"
Elsevier,Preventive Medicine,Is wearing a pedometer associated with higher physical activity among adolescents?,"£2 475,13"
PNAS Author Publication,Proc Natl Acad Sci U S A.,Crystal structures of the endoplasmic reticulum aminopeptidase-1 (ERAP1) reveal the molecular basis for N-terminal peptide trimming.,"£731,77"
National Academy of Sciences,Proceddings of the National Academy of Sciences of USA,Evidence that Viral RNAs have Evolved for Efficient.  Two-stage Packaging,"£619,83"
Royal Society,Proceedings B,Suppressors of RNAi from plant viruses are subject to episodic positive selection,"£1 260,00"
The Royal Society,Proceedings B,Integrating genealogical and dynamical modelling to infer escape and reversion rates in HIV epitopes,"£1 680,00"
Royal Society,Proceedings of Royal Society,Linking the antigen archive structure to pathogen fitness in African trypanosomes,"£1 296,00"
Dartmouth Journal Services,Proceedings of the National Academy of Sciences,SGTA antagonizes BAG6-mediated protein triage,"£603,42"
Dartmouth Journal Services,Proceedings of the National Academy of Sciences,"Inositol kinase and its product accelerate wound healing by modulating calcium levels, Rho GTPases, and F-actin assembly","£660,59"
Dartmouth Journal Services,Proceedings of the National Academy of Sciences,Analysis of Synthetic Lethality Reveals Genetic Interactions Between the GTPase Snu114p and snRNAs in the Catalytic Core of the Saccharomyces cerevisiae Spliceosome,"£1 241,10"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Systematic identification of conserved bacterial c-di-AMP receptor proteins,"£395,60"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Structural basis for the recognition and cleavage of abasic DNA in Neisseria meningitidis,"£605,17"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Interactions between the nucleosome histone core and Arp8 in the INO80 chromatin remodeling complex,"£614,95"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Selectively altering belief formation in the human brain ,"£617,79"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Repair of the degenerate retina by photoreceptor transplantation,"£662,09"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Sexual reproduction and mating-type-mediated strain development in the penicillin-producing fungus Penicillium chrysogenum.,"£664,89"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Presynaptic maturation in auditory hair cells requires a critical period of sensory-independent spiking activity,"£765,36"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Neonatal antibody responses are attenuated by interferon gamma produced by NK and T cells during RSV infection,"£770,75"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Tapasin-related protein TAPBPR is an additional component of the MHC class I presentation pathway,"£792,00"
National Academy of Sciences,Proceedings of the National Academy of Sciences,Progressive hearing loss and gradual deterioration of sensory hair bundles in the ears of mice lacking the actin-binding protein Eps8L2,"£793,02"
National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences,Increased lipolysis and altered lipid homeostatis protect y-synuclein-null mutant mice from diet induced obesity,"£751,84"
"National Academy of Sciences, USA",Proceedings of the National Academy of Sciences,Prediction of economic choice by primate amygdala neurons,"£732,25"
"National Academy of Sciences, USA",Proceedings of the National Academy of Sciences,Structure of the trypanosome haptoglobin haemoglobin receptor and implications for nutrient uptake and innate immunity,"£759,30"
"National Academy of Sciences, USA",Proceedings of the National Academy of Sciences,"CaBP1, a neuronal Ca2+ sensor protein, inhibits inositol trisphosphate receptors by clamping intersubunit interactions","£786,98"
PNAS,Proceedings of the National Academy of Sciences,Multistep molecular mechanism for Bone morphogenetic protein extracellular transport in the Drosophila embryo,"£206,32"
PNAS,Proceedings of the National Academy of Sciences,Specular reflections and the estimation of shape ,"£663,30"
PNAS Author Publication,Proceedings of the national Academy of Sciences,Dimerization of complement factor H-related proteins modulates complement activation in vivo,"£779,69"
National Academy of Sciences,Proceedings of the National Academy of Sciences ,BslA is a self-assembling bacterial hydrophobin that coats the Bacillus subtilis biofilm.,"£888,18"
National Academy of Sciences ,Proceedings of the National Academy of Sciences ,Astrocyte pathology and the absence of non-cell autonomy in an induced pluripotent stem cell model of TDP-43 proteinopathy.,"£2 691,68"
Proceedings of the National Academy of Sciences (PNAS),Proceedings of the National Academy of Sciences (PNAS),The impact of pyrethroid resistance on operational malaria control,"£831,09"
National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,"Exquisite sensitivity to subsecond, picomolar nitric oxide transients conferred on cells by guanylyl cyclase-coupled receptors","£601,70"
National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America,Specific DNA recognition mediated by a type IV pilin,"£567,65"
National Academy of Sciences USA,Proceedings of the National Academy of Sciences of the United States of America ,STAT2 deficiency and susceptibility to viral illness in humans,"£890,00"
PNAS,Proceedings of the National Academy of Sciences of the USA,"Cyclooxygenase-1, not cyclooxygenase-2, is responsible for physiological production of prostracyclin in the cardiovascular system","£809,62"
Royal Society,Proceedings of the Royal Society,Adaptive noise,"£1 260,00"
Royal Society,Proceedings of the Royal Society B: Biological Sciences,Stability of within host parasite communities in a wild mammal system,"£1 050,00"
Royal Society,Proceedings of the Royal Society B: Biological Sciences,Cooperation creates selection for tactical deception,"£1 400,00"
Royal Society,Proceedings of the Royal Society B: Biological Sciences,Inferring subjective states through the observation of actions,"£1 680,00"
Royal Society,Proceedings of the Royal Society B: Biological Sciences,Grey Matter Volume in Early Human Visual Cortex Predicts Proneness to the Sound induced Flash Illusion,"£1 680,00"
Royal Society,Proceedings of the Royal Society B: Biological Sciences,Direct evidence for encoding of motion streaks in human visual cortex,"£1 680,00"
The Royal Society,Proceedings of the Royal Society B: Biological Sciences,"Virulence, drug sensitivity and transmission success in the rodent malaria, Plasmodium chabaudi.","£1 260,00"
The Royal Society,Proceedings of the Royal Society B: Biological Sciences,Analysis of phenotypic evolution in Dictyostelia highlights developmental plasticity as a likely consequence of colonial multicellularity,"£1 680,00"
The Royal Society,Proceedings of the Royal Society B: Biological Sciences,Non-linear time series approaches in characterising mood stability and mood instability in bipolar disorder,"£1 680,00"
Oxford University Press,"Protein Engineering, Design and Selection (",Evaluating the use of Apo-neocarzinostatin as a cell penetrating protein.,"£2 040,00"
Elsevier,Protein Expr Purif.,Analysis of conditions affecting auto-phosphorylation of human kinases during expression in bacteria,"£1 938,38"
Wiley,Protein Science,Clostridium perfringens epsilon toxin H149A mutant as a platform for receptor binding studies,"£1 935,60"
Wiley,Protein Science,Crystal Structure of the small GTPase Ar16/BBS3 from Trypanosoma brucei,"£1 954,66"
Wiley-VCH,Protemics,Carbon source-induced reprogramming of the cell wall proteome and secretome modulates the adherence and drug resistance of the fungal pathogen Candida albicans,"£1 409,96"
Elsevier,Protist,A Trypanosoma brucei protein required for maintenance of the flagellum attachment zone and flagellar pocket ER domains,"£2 177,87"
American Psychological Association,Psychological Assessment,The factor structure of the autobiographical memory test in recent trauma survivors,"£2 973,32"
Cambridge University Press,Psychological Medicine,"Patients’ beliefs about the causes, persistence and control of psychotic experiences predict take-up of effective cognitive behaviour therapy for psychosis","£1 800,00"
CUP,Psychological Medicine,The methods and outcomes of cultural adaptations of psychological treatments for depressive disorder.,"£2 034,00"
CUP,Psychological Medicine,Depression is related to an absence of optimistically biased belief about future life events,"£2 034,00"
CUP,Psychological Medicine,Reduced parahippocampal cortical thickness in subjects at ultra-high risk for psychosis,"£2 034,00"
CUP,Psychological Medicine,Atypical Interference effect of action observation in autism spectrum conditions,"£2 034,00"
American Psychological Association,Psychological Review,Generalization through the recurrent interaction of episodic memories: a model of the hippocampal system,"£2 534,53"
Sage,Psychological Science,Chaotic Homes and Children's Disruptive Behavior: A Longitudinal Cross-Lagged Twin Study,"£2 297,82"
Sage Publications Inc,Psychological Science,Motor Activation during the predicition of nonexecutable actions in infants,"£1 944,14"
American Psychological Association,"Psychological Trauma: Theory research, practice and policy",Investigating cognitive pathways to psychopathology: predicting depression and posttraumatic stress disorder from early responses after assault,"£2 973,32"
Springer,Psychopharmacology,Divergent effects of D(2/3) receptor activation in the nucleus accumbens core and shell on impulsivity and locomotor activity in high and low impulsive rats,"£1 142,79"
Springer,Psychopharmacology,Comparison of the conditioned reinforcing properties of a safety signal and appetitive stimulus: effects of d-amphetamine and anxiolytics,"£2 075,05"
Springer,Psychopharmacology,"Noradrenergic  versus dopaminergic modulation of impulsivity, attention and monitoring behaviour in rats performing the stop-signal task: possible relevance to ADHD","£2 265,88"
BioMed Central,Public Health,Walking and cycling to work despite reporting an unsupportive environment: insights from a mixed-method exploration of resilience,"£384,00"
Elsevier,Public Health,Association between diet and physical activity and sedentary behaviours in 9-10 year old British White children,"£2 321,23"
OUP,Public Health Ethics,Using social networking sites for communicable disease control: innovative contact tracing or breach of confidentiality?,"£1 800,00"
Cambridge University Press,Public Health Nutrition,Prevalence and risk factors for self-reported diabetes among adult men and women in India: findings from a national cross-sectional survey.,"£2 034,00"
CUP,Public Health Nutrition,"Maternal HIV infection and other factors associated with growth outcomes of HIV-uninfected infants in Entebbe, Uganda","£2 034,00"
Public Library of Science,Public Library of Science,The Sec1/Munc18 protein Vps45 regulates cellular levels of its SNARE binding partners Tlg2 and Snc2 in Saccharomyces cerevisiae,"£1 016,24"
Public Library of Science,Public Library of Science ONE,T7 RNA polymerase functions in vitro without clustering,"£1 053,41"
public.service.co.uk,Public Service Review,Laboratory Science in Tropical Medicine,"£6 000,00"
Elsevier,Pulmonary Pharmacology & Therapeutics,Pre-Clinical Studies in Cough Research: Role of Transient Receptor Potential (TRP) Channels,"£2 421,77"
Cambridge University Press,Pyschological Medicine,A Comparison of the Clinical Characteristics of Women with Recurrent Major Depression with and without Suicidal Symptomolgy,"£1 800,00"
Oxford University Press,QJM: An International Journal of Medicine,Hepatitis C virus: current concepts and future challenges,"£1 700,00"
Oxford University Press,QJM: An International Journal of Medicine,Risk factors for wheezing in infants born in Cuba,"£2 400,00"
Sage Publishing,Qualitative Research,Picturing commuting: photovoice and seeking well-being in everyday travel,"£480,00"
Wiley,Rapid Communications in Mass Spectrometry,"The role of conformational flexibility in B2, microglobulin amyloid fibril formation at neutral pH.","£1 853,00"
Bioscientifica,"Reproduction(Cambridge, England)",Influence of energy balance on the somatotrophic axis and matrix metalloproteinase expression in the endometrium of the postpartum dairy cow,"£1 200,00"
Springer,Reproductive Medicine and Biology,Nuclear reprogramming of sperm and somatic nuclei in eggs and oocytes,"£2 242,99"
SAGE Publications,Reproductive Sciences,Priorities for Endometriosis Research: Recommendations from an International Consensus Workshop ,"£2 373,77"
Elsevier,RESEARCH IN VETERINARY SCIENCE,Bluetongue and Epizootic Haemorrhagic Disease virus in local breeds of cattle in Kenya,"£2 476,85"
Karger,Respiration,Mesenchymal Stem Cells As Vectors For Lung Cancer Therapy ,"£2 134,67"
BioMed Central,Respiratory Research,Can spirometric norms be set using pre- or post- bronchodilator test results in older people?,"£1 524,90"
BioMed Central,Respiratory Research,Neutrophil adhesion molecules in experimental rhinovirus infection in COPD,"£1 902,00"
BioMed Central ,RESPIRATORY RESEARCH,Sputum mediator profiling and relationship to airway wall geometry imaging in severe asthma,"£1 854,00"
OUP,Rheumatology,Dynamic regulation of glucocorticoid signalling in health and disease,"£2 040,00"
OUP,Rheumatology,High bone mass is associated with an increased prevalence of joint replacement: a case-control study,"£2 040,00"
Cold Spring Harbor Press,RNA,Kinetic analysis of pre-ribosome structure in vivo,"£910,05"
Cold Spring Harbor Publications,RNA,The association of an La module with the PABP-interacting motif PAM2 is a recurrent evolutionary process that led to the neofunctionalization of La-related proteins,"£1 107,57"
Landes Bioscience,RNA Biology,Human pentatricopeptide proteins- only a few and what do they do?,"£402,42"
Landes Bioscience,RNA biology,The functional exchangeability of pk- and k-turns in RNA structure,"£494,96"
Landes Bioscience,RNA Biology,A two-stage mechanism of viral RNA campaction revealed by single molecule fluorescence,"£572,99"
The royal Society,RSTB 2012.0145,A sticky situation : the unexpected stability of malaria elimination,"£1 680,00"
OUP,Schizophrenia Bulletin,Alterations in white matter evident before the onset of psychosis,"£2 047,50"
Oxford University Press,Schizophrenia Bulletin,"Social deprivation, inequality and the neighbourhood-level incidence of psychotic syndromes in East London","£2 040,00"
Oxford University Press (OUP),Schizophrenia Bulletin ,Life Events and Psychosis: A Review and Meta-Analysis,"£2 048,00"
Elsevier,Schizophrenia Research,Childhood infection and adult schizophrenia: A meta-analysis of population-based studies,"£2 222,09"
Elsevier,Schizophrenia Research,A quantitative meta-analysis of population-based studies of premorbid intelligence and schizophrenia,"£2 222,09"
Nature Publishing Group,Sci Rep,Structure of a metal-independent bacterial glycosyltransferase that catalyzes the synthesis of histo-blood group A antigen.,"£1 068,00"
Taylor & Francis,Science as Culture,Walking or Waiting? Topologies of the Breeding Ground in Malaria Control,"£2 145,60"
The Sheridan Press,Science-Research,High Coverage of ART increases,"£949,52"
The Sheridan Press,Science-Research,Increase in adult life expectancy,"£1 224,61"
Nature,Scientific Reports,Estimating the proportion of variation in susceptibility to multiple sclerosis captured by common SNPs.,"£1 068,00"
Nature,Scientific Reports,Homogeneous Antibody Fragment Conjugation By Disulfide Bridging Introduces 'Spinostics',"£1 068,00"
Nature Publishing Group,Scientific Reports,A Weber-like law for perceptual learning,"£1 068,00"
Nature Publishing Group,Scientific Reports-11-00861B,The distribution of haemoglobin C and its prevalence in newborns in Africa,"£1 068,00"
Elsevier,Seizure,Co-morbidity of epilepsy in Tanzanian children: a community-based case-control study,"£2 369,70"
Springer,Seminars in Immunopathology,Trichuris muris: a model of gastrointestinal parasite infection,"£1 894,60"
Elsevier,Seminars in Oncology,"Adjuvant therapy in renal cell carcinoma - past, present, and future","£2 379,79"
MDPI,Sensors,Wearable and Implantable Sensors: The patientâ€™s Perspective,"£1 290,41"
BMJ Group ,Sex Transm Infect.,"Cross-sectional survey of treatment practices for urethritis at pharmacies, private clinics and government health facilities in coastal Kenya: many missed opportunities for HIV prevention.","£1 700,00"
BMJ,Sexually Transmitted Infections,Trichomonas vaginalis virulence factors: an integrative overview,"£2 340,00"
BMJ Group,Sexually Transmitted Infections                         ,Estimating the resources required in the roll-out of universal access to antiretroviral therapy in Zimbabwe,"£2 040,00"
Society for General Microbiology,SGM Open Option,Ribosomal multilocus sequence typing: universal characterisation of bacteria from domain to strain,"£1 750,00"
OUP,Social Cognitive and Affective Neuroscience,Social brains on drugs: tools for neuromodulation in social neuroscience,"£1 800,00"
OUP,Social Cognitive and Affective Neuroscience,Neural correlates of the 'good life': eudaimonic well-being is associated with insular cortex volume,"£2 040,00"
Oxford University Press,Social Cognitive and Affective Neuroscience,Emotion regulation modulates anticipatory brain activity that predicts emotional memory encoding in women,"£2 040,00"
Oxford Journals,Social History of Medicine,Refuse and the ‘Risk Society’: The Political Ecology of Risk in Inter-war Britain,"£2 040,00"
Oxford Journals,Social History of Medicine,A Modern History of the Stomach,"£2 040,00"
Oxford University Press,Social History of Medicine,"Children's physic: medical perceptions and treatment of sick children in early modern England, c. 1580-1720","£2 040,00"
Oxford University Press,Social History of Medicine,Beyond the Medical Text: Health and Illness in Early Medieval Italian Sources,"£2 100,00"
Springer,Social Psychiatry & Psychiatric Epidemiology,"Abuse and other correlates of common mental disorders in youth: a cross-sectional study in Goa, India.","£1 739,13"
Springer,Social Psychiatry and Psychiatric Epidemiol,"Patterns of alcohol use, their correlates and impact in make drinkers: a population-based survey from Goa, India.","£1 739,13"
Springer,Social Psychiatry and Psychiatric Epidemiol,Cross-national differences in questionnaires do not necessarily reflect comparable differences in disorder prevalence.,"£1 739,13"
Springer,Social Psychiatry and Psychiatric Epidemiology,"Abuse and other correlates of Common Mental Disorders in Youth: a
Cross-Sectional study in Goa, India
","£1 905,98"
Springer,Social Psychiatry and Psychiatric Epidemiology,Cross-national differences in questionnaires do not necesarily reflect comparable differences in disorder prevalence.,"£1 944,88"
Springer,Social Psychiatry and Psychiatric Epidemiology,"Patterns of alcohol use, their correlates and impact in male drinkers: a population-based survey from Goa, India","£1 944,88"
Springer,Social Psychiatry and Psychiatric Epidemiology,Epidemiology of childhood conduct problems in Brazil: systematic review and meta-analysis,"£2 274,49"
Elsevier,Social Science & Medicine,"The impact of a lay counselor led collaborative care intervention for common mental disorders in public and private primary care: a qualitative evaluation nested in the MANAS trial in Goa, India.","£2 392,77"
